Year,Population,Murder,Rape,Robbery,Assault,Burglary,CarTheft
1965,18073000,836,2320,28182,27464,183443,58452
1966,18258000,882,2439,30098,29142,196127,64368
1967,18336000,996,2665,40202,31261,219157,83775
1968,18113000,1185,2527,59857,34946,250918,104877
1969,18321000,1324,2902,64754,36890,248477,115400
1970,18190740,1444,2875,81149,39145,267474,125674
1971,18391000,1823,3225,97682,42318,273704,127658
1972,18366000,2026,4199,86391,45926,239886,105081
1973,18265000,2040,4852,80795,47781,246246,112328
1974,18111000,1919,5240,86814,51454,271824,104095
1975,18120000,1996,5099,93499,54593,301996,116274
1976,18084000,1969,4663,95718,54638,318919,133504
1977,17924000,1919,5272,84703,57193,309735,133669
1978,17748000,1820,5168,83785,58484,292956,119264
1979,17649000,2092,5394,93471,60949,308302,124343
1980,17506690,2228,5405,112273,60329,360925,133041
1981,17594000,2166,5479,120344,60189,350422,136849
1982,17659000,2013,5159,107843,59818,295245,137880
1983,17667000,1958,5296,94783,59452,249115,127861
1984,17735000,1786,5599,89900,64872,222956,115392
1985,17783000,1683,5706,89706,68270,219633,106537
1986,17772000,1907,5415,91360,76528,217010,113247
1987,17825000,2016,5537,89721,82417,216826,125329
1988,17898000,2244,5479,97434,91239,218060,153898
1989,17950000,2246,5242,103983,91571,211130,171007
1990,17990455,2605,5368,112380,92105,208813,187591
1991,18058000,2571,5085,112342,90186,204499,181287
1992,18119000,2397,5152,108154,87608,193548,168922
1993,18197000,2420,5008,102122,85802,181709,151949
1994,18169000,2016,4700,86617,82100,164650,128873
1995,18136000,1550,4290,72492,74351,146562,102596
1996,18185000,1353,4174,61822,64857,129828,89900
1997,18137000,1093,4075,56094,63628,118306,79697
1998,18175000,924,3843,49125,62023,104821,68171
1999,18196601,903,3563,43821,58860,93217,58261
2000,18976457,952,3530,40539,60090,87946,54231
2001,19084350,960,3546,36555,56961,80400,48287
2002,19134293,909,3885,36653,53583,76700,47366
2003,19212425,934,3775,35790,48987,75453,45204
2004,19280727,889,3608,33506,46911,70696,41002
2005,19315721,874,3636,35179,46150,68034,35736
2006,19306183,921,3169,34489,45387,68565,32134
2007,19297729,801,2926,31094,45094,64857,28030
2008,19467789,836,2799,31789,42122,65537,25096
2009,19541453,781,2582,28141,43606,62769,21871
2010,19395206,868,2797,28630,44197,65839,20639
2011,19465197,774,2752,28396,45568,65397,19311
