,,,,,,
World,"115,494,312",2025,"105,435,540",2023,"100,834,796",2022
United States,"30,337,162",2025,"27,360,935",2023,"25,744,100",2022
China,"19,534,894",[n 1]2025,"17,794,782",[n 3]2023,"17,963,170",[n 1]2022
Germany,"4,921,563",2025,"4,456,081",2023,"4,076,923",2022
Japan,"4,389,326",2025,"4,212,945",2023,"4,232,173",2022
India,"4,271,922",2025,"3,549,919",2023,"3,465,541",2022
United Kingdom,"3,730,261",2025,"3,340,032",2023,"3,089,072",2022
France,"3,283,429",2025,"3,030,904",2023,"2,775,316",2022
Italy,"2,459,597",2025,"2,254,851",2023,"2,046,952",2022
Canada,"2,330,308",2025,"2,140,086",2023,"2,137,939",2022
Brazil,"2,307,162",2025,"2,173,666",2023,"1,920,095",2022
Russia,"2,195,708",2025,"2,021,421",2023,"2,240,422",2022
South Korea,"1,947,133",2025,"1,712,793",2023,"1,673,916",2022
Australia,"1,881,140",2025,"1,723,827",2023,"1,776,577",2022
Spain,"1,827,576",2025,"1,580,695",2023,"1,415,874",2022
Mexico,"1,817,818",2025,"1,788,887",2023,"1,463,323",2022
Indonesia,"1,492,618",2025,"1,371,171",2023,"1,319,100",2022
Turkey,"1,455,413",2025,"1,108,022",2023,"907,118",2022
Netherlands,"1,272,960",2025,"1,118,125",2023,"1,008,027",2022
Saudi Arabia,"1,136,580",2025,"1,067,583",2023,"1,108,148",2022
Switzerland,"999,604",2025,"884,940",2023,"818,426",2022
Poland,"915,451",2025,"811,229",2023,"688,125",2022
Taiwan,"814,438",[n 4]2025,—,—,,
Belgium,"689,364",2025,"632,217",2023,"582,643",2022
Sweden,"638,780",2025,"593,268",2023,"591,188",2022
Argentina,"604,201",2025,"640,591",2023,"631,133",2022
Ireland,"587,225",2025,"545,629",2023,"532,415",2022
United Arab Emirates,"568,567",2025,"504,173",2023,"507,063",2022
Singapore,"561,725",2025,"501,428",2023,"466,788",2022
Austria,"559,218",2025,"516,034",2023,"470,302",2022
Israel,"550,905",2025,"509,902",2023,"525,002",2022
Thailand,"545,341",2025,"514,945",2023,"495,340",2022
Philippines,"507,670",2025,"437,146",2023,"404,284",2022
Vietnam,"506,600",2025,"429,717",2023,"408,802",2022
Norway,"503,466",2025,"485,513",2023,"579,422",2022
Malaysia,"488,250",2025,"399,649",2023,"406,305",2022
Bangladesh,"481,856",2025,"437,415",2023,"432,677",2022
Iran,"478,100",2025,"401,505",2023,"398,047",2022
Denmark,"432,228",2025,"404,199",2023,"400,167",2022
Hong Kong,"422,057",[n 5]2025,"382,055",2023,"359,838",2022
Colombia,"419,331",2025,"363,540",2023,"343,939",2022
South Africa,"418,046",2025,"377,782",2023,"405,270",2022
Romania,"406,202",2025,"351,003",2023,"300,690",2022
Pakistan,"393,100",2025,"338,368",2023,"326,796",2022
Chile,"362,240",2025,"335,533",2023,"300,686",2022
Czech Republic,"360,233",2025,"330,858",2023,"290,527",2022
Egypt,"345,800",2025,"395,926",2023,"409,306",2022
Finland,"319,989",2025,"300,187",2023,"282,511",2022
Portugal,"319,934",2025,"287,080",2023,"254,849",2022
Hungary,"312,619",2025,"212,389",2023,"177,337",2022
Kazakhstan,"306,629",2025,"261,421",2023,"225,496",2022
Peru,"294,898",2025,"267,603",2023,"242,631",2022
Iraq,"270,874",2025,"250,843",2023,"264,182",2022
Greece,"265,171",2025,"238,206",2023,"217,285",2022
Algeria,"264,270",2025,"239,899",2023,"191,912",2022
New Zealand,"262,924",2025,"253,466",2023,"245,845",2022
Qatar,"240,217",2025,"235,770",2022,"237,101",2022
Ethiopia,"238,800",2025,"163,698",2023,"118,971",2022
Nigeria,"199,720",2025,"362,815",2023,"475,058",2022
Ukraine,"189,827",[n 6]2025,"178,757",[n 6]2023,"160,502",[n 6]2022
Morocco,"168,597",2025,"141,109",2023,"130,912",2022
Kuwait,"161,950",2025,"161,772",2023,"175,363",2022
Cuba,—,—,"147,193",2022,,
Slovakia,"142,617",2024,"132,794",2023,"115,304",2022
Dominican Republic,"126,238",2024,"121,444",2023,"113,537",2022
