iter	Passed	Remaining
0	129	12780
1	138	6776
2	152	4922
3	171	4127
4	182	3459
5	195	3066
6	210	2799
7	225	2598
8	237	2400
9	248	2240
10	262	2127
11	274	2016
12	283	1896
13	297	1824
14	319	1812
15	333	1750
16	349	1705
17	365	1667
18	383	1632
19	401	1605
20	416	1568
21	431	1529
22	444	1488
23	458	1451
24	481	1444
25	500	1423
26	514	1390
27	532	1369
28	548	1343
29	562	1312
30	575	1280
31	590	1254
32	615	1250
33	639	1241
34	659	1225
35	678	1205
36	695	1184
37	712	1162
38	729	1140
39	746	1119
40	763	1097
41	780	1077
42	796	1056
43	812	1034
44	837	1023
45	855	1004
46	871	982
47	902	977
48	977	1017
49	1008	1008
50	1038	997
51	1067	985
52	1089	966
53	1116	950
54	1138	931
55	1157	909
56	1184	893
57	1215	880
58	1244	864
59	1268	845
60	1285	821
61	1300	797
62	1318	774
63	1342	755
64	1365	735
65	1614	831
66	1733	853
67	1864	877
68	1918	861
69	1968	843
70	2016	823
71	2085	810
72	2111	780
73	2132	749
74	2149	716
75	2168	684
76	2187	653
77	2210	623
78	2227	592
79	2245	561
80	2262	530
81	2282	501
82	2301	471
83	2317	441
84	2334	411
85	2350	382
86	2365	353
87	2382	324
88	2400	296
89	2418	268
90	2433	240
91	2449	212
92	2463	185
93	2478	158
94	2496	131
95	2513	104
96	2529	78
97	2544	51
98	2558	25
99	2572	0
